year,film,winner
2014,The Grand Budapest Hotel,0
2014,The Imitation Game,0
2014,Nightcrawler (film),0
2014,The Theory of Everything (2014 film),0
2014,Whiplash (2014 film),0
2015,The Big Short (film),1
2015,Bridge of Spies (film),0
2015,Brooklyn (film),0
2015,Ex Machina (film),0
2015,Mad Max: Fury Road,0
2015,The Martian (film),0
2015,The Revenant (2015 film),0
2015,Sicario (2015 film),0
2015,Spotlight (film),0
2015,Straight Outta Compton (film),0
2016,La La Land (film),1
2016,Arrival (film),0
2016,Deadpool (film),0
2016,Fences (film),0
2016,Hacksaw Ridge,0
2016,Hell or High Water (2016 film),0
2016,Hidden Figures,0
2016,Lion (2016 film),0
2016,Manchester by the Sea (film),0
2016,Moonlight (2016 film),0
2017,The Shape of Water,1
2017,The Big Sick,0
2017,Call Me by Your Name (film),0
2017,Dunkirk (2017 film),0
2017,Get Out,0
2017,"I, Tonya",0
2017,Lady Bird (film),0
2017,Molly's Game,0
2017,The Post (film),0
2017,"Three Billboards Outside Ebbing, Missouri",0
2017,Wonder Woman (2017 film),0
2018,Green Book (film),1
2018,Black Panther (film),0
2018,BlacKkKlansman,0
2018,Bohemian Rhapsody (film),0
2018,Crazy Rich Asians (film),0
2018,The Favourite,0
2018,A Quiet Place (film),0
2018,Roma (2018 film),0
2018,A Star Is Born (2018 film),0
2018,Vice (2018 film),0
2019,1917 (2019 film),1
2019,Ford v Ferrari,0
2019,The Irishman,0
2019,Jojo Rabbit,0
2019,Joker (2019 film),0
2019,Knives Out (film),0
2019,Little Women (2019 film),0
2019,Marriage Story,0
2019,Once Upon a Time in Hollywood,0
2019,Parasite (2019 film),0
