year,film,winner
1981,Atlantic City (1980 film),0
1981,The French Lieutenant's Woman (film),0
1981,Gregory's Girl,0
1981,Raiders of the Lost Ark,0
1982,Gandhi (film),1
1982,E.T. the Extra-Terrestrial,0
1982,Missing (1982 film),0
1982,On Golden Pond (1981 film),0
1983,Educating Rita (film),1
1983,Heat and Dust (film),0
1983,Local Hero (film),0
1983,Tootsie,0
1984,The Killing Fields (film),1
1984,The Dresser (1983 film),0
1984,"Paris, Texas (film)",0
1984,A Private Function,0
1985,The Purple Rose of Cairo,1
1985,Amadeus (film),0
1985,Back to the Future,0
1985,A Passage to India (film),0
1985,Witness (1985 film),0
1986,A Room with a View (1985 film),1
1986,Hannah and Her Sisters,0
1986,The Mission (1986 film),0
1986,Mona Lisa (1986 film),0
1987,Jean de Florette,1
1987,Cry Freedom,0
1987,Hope and Glory (film),0
1987,Radio Days,0
1988,The Last Emperor,1
1988,Au revoir les enfants,0
1988,Babette's Feast,0
1988,A Fish Called Wanda,0
1989,Dead Poets Society,1
1989,My Left Foot,0
1989,Shirley Valentine (film),0
1989,When Harry Met Sally...,0
1990,Goodfellas,1
1990,Crimes and Misdemeanors,0
1990,Driving Miss Daisy,0
1990,Pretty Woman,0
1991,The Commitments (film),1
1991,Dances with Wolves,0
1991,The Silence of the Lambs (film),0
1991,Thelma & Louise,0
1992,Howards End (film),1
1992,The Crying Game,0
1992,The Player (1992 film),0
1992,Strictly Ballroom,0
1992,Unforgiven,0
1993,Schindler's List,1
1993,The Piano,0
1993,The Remains of the Day (film),0
1993,Shadowlands (1993 film),0
1994,Four Weddings and a Funeral,1
1994,Forrest Gump,0
1994,Pulp Fiction,0
1994,Quiz Show (film),0
1995,Sense and Sensibility (film),1
1995,Babe (film),0
1995,The Madness of King George,0
1995,The Usual Suspects,0
1996,The English Patient (film),1
1996,Fargo (film),0
1996,Secrets & Lies (film),0
1996,Shine (film),0
1997,The Full Monty,1
1997,L.A. Confidential (film),0
1997,Mrs Brown,0
1997,Titanic (1997 film),0
1998,Shakespeare in Love,1
1998,Elizabeth (film),0
1998,Saving Private Ryan,0
1998,The Truman Show,0
1999,American Beauty (1999 film),1
1999,East Is East (1999 film),0
1999,The End of the Affair (1999 film),0
1999,The Sixth Sense,0
1999,The Talented Mr. Ripley (film),0
2000,Gladiator (2000 film),1
2000,Almost Famous,0
2000,Billy Elliot,0
2000,"Crouching Tiger, Hidden Dragon",0
2000,Erin Brockovich (film),0
2001,The Lord of the Rings: The Fellowship of the Ring,1
2001,Amélie,0
2001,A Beautiful Mind (film),0
2001,Moulin Rouge!,0
2001,Shrek,0
2002,The Pianist (2002 film),1
2002,Chicago (2002 film),0
2002,Gangs of New York,0
2002,The Hours (film),0
2002,The Lord of the Rings: The Two Towers,0
2003,The Lord of the Rings: The Return of the King,1
2003,Big Fish,0
2003,Cold Mountain (film),0
2003,Lost in Translation (film),0
2003,Master and Commander: The Far Side of the World,0
2004,The Aviator (2004 film),1
2004,Eternal Sunshine of the Spotless Mind,0
2004,Finding Neverland (film),0
2004,The Motorcycle Diaries (film),0
2004,Vera Drake,0
2005,Brokeback Mountain,1
2005,Capote (film),0
2005,The Constant Gardener (film),0
2005,Crash (2004 film),0
2005,"Good Night, and Good Luck",0
2006,The Queen (2006 film),1
2006,Babel (film),0
2006,The Departed,0
2006,The Last King of Scotland (film),0
2006,Little Miss Sunshine,0
2007,Atonement (film),1
2007,American Gangster (film),0
2007,The Lives of Others,0
2007,No Country for Old Men (film),0
2007,There Will Be Blood,0
2008,Slumdog Millionaire,1
2008,The Curious Case of Benjamin Button (film),0
2008,Frost/Nixon (film),0
2008,Milk (film),0
2008,The Reader (2008 film),0
2009,The Hurt Locker,1
2009,Avatar (2009 film),0
2009,An Education,0
2009,Precious (film),0
2009,Up in the Air (2009 film),0
2010,The King's Speech,1
2010,Black Swan (film),0
2010,Inception,0
2010,The Social Network,0
2010,True Grit (2010 film),0
2011,The Artist (film),1
2011,The Descendants,0
2011,Drive (2011 film),0
2011,The Help (film),0
2011,Tinker Tailor Soldier Spy (film),0
2012,Argo (2012 film),1
2012,Les Misérables (2012 film),0
2012,Life of Pi (film),0
2012,Lincoln (film),0
2012,Zero Dark Thirty,0
2013,12 Years a Slave (film),1
2013,American Hustle,0
2013,Captain Phillips (film),0
2013,Gravity (2013 film),0
2013,Philomena (film),0
2014,Boyhood (film),1
2014,Birdman (film),0
2014,The Grand Budapest Hotel,0
2014,The Imitation Game,0
2014,The Theory of Everything (2014 film),0
2015,The Revenant (2015 film),1
2015,The Big Short (film),0
2015,Bridge of Spies (film),0
2015,Carol (film),0
2015,Spotlight (film),0
2016,La La Land (film),1
2016,Arrival (film),0
2016,"I, Daniel Blake",0
2016,Manchester by the Sea (film),0
2016,Moonlight (2016 film),0
2017,"Three Billboards Outside Ebbing, Missouri",1
2017,Call Me by Your Name (film),0
2017,Darkest Hour (film),0
2017,Dunkirk (2017 film),0
2017,The Shape of Water (film),0
2018,Roma (2018 film),1
2018,BlacKkKlansman,0
2018,The Favourite,0
2018,Green Book (film),0
2018,A Star Is Born (2018 film),0
2019,1917 (2019 film),1
2019,The Irishman,0
2019,Joker (2019 film),0
2019,Once Upon a Time in Hollywood,0
2019,Parasite (2019 film),0
